Extractor,UserAgent,Permission,Original,ExtractedUrl
robots.txt,*,Disallow,Disallow: /a=85/,https://runescape.com/a=85/
robots.txt,*,Disallow,Disallow: /a=86/,https://runescape.com/a=86/
robots.txt,*,Disallow,Disallow: /a=87/,https://runescape.com/a=87/
robots.txt,*,Disallow,Disallow: /a=88/,https://runescape.com/a=88/
robots.txt,*,Disallow,Disallow: /a=89/,https://runescape.com/a=89/
robots.txt,*,Disallow,Disallow: /a=90/,https://runescape.com/a=90/
robots.txt,*,Disallow,Disallow: /a=91/,https://runescape.com/a=91/
robots.txt,*,Disallow,Disallow: /a=92/,https://runescape.com/a=92/
robots.txt,*,Disallow,Disallow: /a=93/,https://runescape.com/a=93/
robots.txt,*,Disallow,Disallow: /a=94/,https://runescape.com/a=94/
robots.txt,*,Disallow,Disallow: /a=95/,https://runescape.com/a=95/
robots.txt,*,Disallow,Disallow: /a=96/,https://runescape.com/a=96/
robots.txt,*,Disallow,Disallow: /a=97/,https://runescape.com/a=97/
robots.txt,*,Disallow,Disallow: /a=98/,https://runescape.com/a=98/
robots.txt,*,Disallow,Disallow: /a=99/,https://runescape.com/a=99/
robots.txt,*,Disallow,Disallow: /a=100/,https://runescape.com/a=100/
robots.txt,*,Disallow,Disallow: /a=101/,https://runescape.com/a=101/
robots.txt,*,Disallow,Disallow: /a=102/,https://runescape.com/a=102/
robots.txt,*,Disallow,Disallow: /a=103/,https://runescape.com/a=103/
robots.txt,*,Disallow,Disallow: /a=104/,https://runescape.com/a=104/
robots.txt,*,Disallow,Disallow: /a=105/,https://runescape.com/a=105/
robots.txt,*,Disallow,Disallow: /a=106/,https://runescape.com/a=106/
robots.txt,*,Disallow,Disallow: /a=107/,https://runescape.com/a=107/
robots.txt,*,Disallow,Disallow: /a=108/,https://runescape.com/a=108/
robots.txt,*,Disallow,Disallow: /a=109/,https://runescape.com/a=109/
robots.txt,*,Disallow,Disallow: /a=110/,https://runescape.com/a=110/
robots.txt,*,Disallow,Disallow: /a=111/,https://runescape.com/a=111/
robots.txt,*,Disallow,Disallow: /a=112/,https://runescape.com/a=112/
robots.txt,*,Disallow,Disallow: /a=113/,https://runescape.com/a=113/
robots.txt,*,Disallow,Disallow: /a=114/,https://runescape.com/a=114/
robots.txt,*,Disallow,Disallow: /a=115/,https://runescape.com/a=115/
robots.txt,*,Disallow,Disallow: /a=116/,https://runescape.com/a=116/
robots.txt,*,Disallow,Disallow: /a=117/,https://runescape.com/a=117/
robots.txt,*,Disallow,Disallow: /a=118/,https://runescape.com/a=118/
robots.txt,*,Disallow,Disallow: /a=119/,https://runescape.com/a=119/
robots.txt,*,Disallow,Disallow: /a=120/,https://runescape.com/a=120/
robots.txt,*,Disallow,Disallow: /a=121/,https://runescape.com/a=121/
robots.txt,*,Disallow,Disallow: /a=122/,https://runescape.com/a=122/
robots.txt,*,Disallow,Disallow: /a=123/,https://runescape.com/a=123/
robots.txt,*,Disallow,Disallow: /a=124/,https://runescape.com/a=124/
robots.txt,*,Disallow,Disallow: /a=125/,https://runescape.com/a=125/
robots.txt,*,Disallow,Disallow: /a=126/,https://runescape.com/a=126/
robots.txt,*,Disallow,Disallow: /a=127/,https://runescape.com/a=127/
robots.txt,*,Disallow,Disallow: /a=128/,https://runescape.com/a=128/
robots.txt,*,Disallow,Disallow: /a=129/,https://runescape.com/a=129/
robots.txt,*,Disallow,Disallow: /a=130/,https://runescape.com/a=130/
robots.txt,*,Disallow,Disallow: /a=131/,https://runescape.com/a=131/
robots.txt,*,Disallow,Disallow: /a=132/,https://runescape.com/a=132/
robots.txt,*,Disallow,Disallow: /a=133/,https://runescape.com/a=133/
robots.txt,*,Disallow,Disallow: /a=134/,https://runescape.com/a=134/
robots.txt,*,Disallow,Disallow: /a=135/,https://runescape.com/a=135/
robots.txt,*,Disallow,Disallow: /a=136/,https://runescape.com/a=136/
robots.txt,*,Disallow,Disallow: /a=137/,https://runescape.com/a=137/
robots.txt,*,Disallow,Disallow: /a=138/,https://runescape.com/a=138/
robots.txt,*,Disallow,Disallow: /a=139/,https://runescape.com/a=139/
robots.txt,*,Disallow,Disallow: /a=140/,https://runescape.com/a=140/
robots.txt,*,Disallow,Disallow: /a=141/,https://runescape.com/a=141/
robots.txt,*,Disallow,Disallow: /a=142/,https://runescape.com/a=142/
robots.txt,*,Disallow,Disallow: /a=143/,https://runescape.com/a=143/
robots.txt,*,Disallow,Disallow: /a=144/,https://runescape.com/a=144/
robots.txt,*,Disallow,Disallow: /a=145/,https://runescape.com/a=145/
robots.txt,*,Disallow,Disallow: /a=146/,https://runescape.com/a=146/
robots.txt,*,Disallow,Disallow: /a=147/,https://runescape.com/a=147/
robots.txt,*,Disallow,Disallow: /a=148/,https://runescape.com/a=148/
robots.txt,*,Disallow,Disallow: /a=149/,https://runescape.com/a=149/
robots.txt,*,Disallow,Disallow: /a=150/,https://runescape.com/a=150/
robots.txt,*,Disallow,Disallow: /a=151/,https://runescape.com/a=151/
robots.txt,*,Disallow,Disallow: /a=152/,https://runescape.com/a=152/
robots.txt,*,Disallow,Disallow: /a=153/,https://runescape.com/a=153/
robots.txt,*,Disallow,Disallow: /a=154/,https://runescape.com/a=154/
robots.txt,*,Disallow,Disallow: /a=155/,https://runescape.com/a=155/
robots.txt,*,Disallow,Disallow: /a=156/,https://runescape.com/a=156/
robots.txt,*,Disallow,Disallow: /a=157/,https://runescape.com/a=157/
robots.txt,*,Disallow,Disallow: /a=158/,https://runescape.com/a=158/
robots.txt,*,Disallow,Disallow: /a=159/,https://runescape.com/a=159/
robots.txt,*,Disallow,Disallow: /a=160/,https://runescape.com/a=160/
robots.txt,*,Disallow,Disallow: /a=161/,https://runescape.com/a=161/
robots.txt,*,Disallow,Disallow: /a=162/,https://runescape.com/a=162/
robots.txt,*,Disallow,Disallow: /a=163/,https://runescape.com/a=163/
robots.txt,*,Disallow,Disallow: /a=164/,https://runescape.com/a=164/
robots.txt,*,Disallow,Disallow: /a=165/,https://runescape.com/a=165/
robots.txt,*,Disallow,Disallow: /a=166/,https://runescape.com/a=166/
robots.txt,*,Disallow,Disallow: /a=167/,https://runescape.com/a=167/
robots.txt,*,Disallow,Disallow: /a=168/,https://runescape.com/a=168/
robots.txt,*,Disallow,Disallow: /a=169/,https://runescape.com/a=169/
robots.txt,*,Disallow,Disallow: /a=170/,https://runescape.com/a=170/
robots.txt,*,Disallow,Disallow: /a=171/,https://runescape.com/a=171/
